team,confederation,fifa_rank,rank_change,elo,form_score,r32_prob,r16_prob,qf_prob,sf_prob,final_prob,winner_prob,r32_count,r16_count,qf_count,sf_count,final_count,winner_count
Saudi Arabia,AFC,61,-13,1687.3166217128537,4.0,0.43,0.088,0.02,0.002,0.002,0.0,430,88,20,2,2,0
Tunisia,CAF,44,-15,1734.5510153524017,27.0,0.416,0.074,0.015,0.001,0.0,0.0,416,74,15,1,0,0
South Africa,CAF,60,7,1666.8081432879508,21.0,0.274,0.046,0.004,0.0,0.0,0.0,274,46,4,0,0,0
Sweden,UEFA,38,-15,1754.8837065122243,7.0,0.42,0.083,0.02,0.001,0.0,0.0,420,83,20,1,0,0
Scotland,UEFA,43,-1,1830.6372210421189,11.0,0.504,0.13,0.042,0.012,0.001,0.0,504,130,42,12,1,0
Algeria,CAF,28,10,1850.760962525782,41.0,0.537,0.159,0.064,0.019,0.005,0.0,537,159,64,19,5,0
Qatar,AFC,55,5,1591.4387247414088,6.0,0.383,0.055,0.007,0.0,0.0,0.0,383,55,7,0,0,0
Panama,CONCACAF,33,28,1849.740522694008,26.0,0.73,0.294,0.108,0.034,0.01,0.0,730,294,108,34,10,0
Jordan,AFC,63,21,1780.6534798377895,33.0,0.53,0.14,0.049,0.018,0.006,0.0,530,140,49,18,6,0
Iraq,AFC,57,11,1710.777392688835,12.0,0.315,0.107,0.021,0.004,0.0,0.0,315,107,21,4,0,0
Ghana,CAF,74,-16,1615.8299206365696,13.0,0.166,0.013,0.002,0.0,0.0,0.0,166,13,2,0,0,0
Egypt,CAF,29,11,1801.4242652061284,18.0,0.51,0.186,0.034,0.009,0.0,0.0,510,186,34,9,0,0
DR Congo,CAF,46,27,1750.3992713146374,19.0,0.326,0.068,0.012,0.002,0.0,0.0,326,68,12,2,0,0
Czech Republic,UEFA,41,-2,1773.8404081524145,8.0,0.482,0.132,0.037,0.008,0.0,0.0,482,132,37,8,0,0
Curaçao,CONCACAF,82,4,1621.1621160682707,21.0,0.259,0.059,0.005,0.001,0.0,0.0,259,59,5,1,0,0
Cape Verde,CAF,69,3,1657.0037011899965,11.0,0.244,0.035,0.007,0.002,0.0,0.0,244,35,7,2,0,0
Bosnia and Herzegovina,UEFA,65,-8,1632.9608168950872,-16.0,0.314,0.025,0.003,0.0,0.0,0.0,314,25,3,0,0,0
Uzbekistan,AFC,50,27,1823.3316270587825,34.0,0.61,0.25,0.073,0.025,0.004,0.0,610,250,73,25,4,0
